poi_id,poi_ind,rec_id,rec_ind
sg:3c2f5f46c885464c96f4937a7e47b0c7,1345,sg:4435703ae5b44067ae640db52da3459c,1502
sg:3c303f1896234206ab16954dc5c0a754,1346,sg:4c6abf769ec5438d9f528947216a2139,1652
sg:3c320395e76f456ab275e0c56391360d,1347,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:3c57c8466389424d80f65a0b0fb2239c,1348,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3c6a55b0f9b647839900e2f0dcfe195c,1349,sg:bb520ed803a0471b83e45a3802e6d0df,3804
sg:3c71b5c8b11c4911924564b1b45db101,1350,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:3c8a3923ecbd4c94983c8df8b413acd5,1351,sg:b598c5c8b96b4dce9f1e2a7c4fedd9b3,3699
sg:3cb22bc99b5a4b7ab74db07df449be3f,1352,sg:9c3ee043dfbe4499b8b552beebb9f83d,3190
sg:3cb4c53a05034ddfab487c13595ed965,1353,sg:4c6abf769ec5438d9f528947216a2139,1652
sg:3cb57795a2d54926b61f88d40a757e4e,1354,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:3cb947d601b04870b94a7be849f5b8ae,1355,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3ccf2816d9a24e71a4072153aacebb3c,1356,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3ccf3791312d43bd86251696cca16c54,1357,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:3cd84d88ba0a4f949482b0cc1752caaf,1358,sg:b598c5c8b96b4dce9f1e2a7c4fedd9b3,3699
sg:3cd8dba34a754ee2a194df6b01e6ef26,1359,sg:4435703ae5b44067ae640db52da3459c,1502
sg:3cda42efa7d04d1ba67e5cde142a89b3,1360,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:3cda67e2491c45be8a4d3edc4c6f0698,1361,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:3cdd308c230e4496a6aaffe4bc62f895,1362,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3cde8cfe84c14a8a951967f2eabfad69,1363,sg:4c6abf769ec5438d9f528947216a2139,1652
sg:3ce52bebb1574d3f9d5f03cc26e6b2b2,1364,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3ce85a0896894868857712d7de458980,1365,sg:f8eac82189214f47b182f0ac8370efd2,4939
sg:3cf26db161e543d6a5b2e922182c05f5,1366,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:3cf596199ca447d18e2c6f7c96bf65cc,1367,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:3d03e827b4ee459187f6106fdfc62525,1368,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:3d08b23714c0425cbbf0b974c7450bb4,1369,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3d106012a23144f58b1c748d47b688b1,1370,sg:ce790f1f054f40a89ddd9effc89530fc,4143
sg:3d1f5e5f1b19416ba1f953409378bca5,1371,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3d2b5821a65b4624aca70f4d37e52c09,1372,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3d36a4dbe9404944a73c772cd9c9b5ff,1373,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:3d5ac2361d4141a298547be9c381e6b3,1374,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:3d600a60ec89438fa22f2db92548d8fb,1375,sg:c32073b1bd7a4d66898fab9ea06eee11,3945
sg:3d69627eebac4064a89e3174a382c244,1376,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3d6a666dbafa4ede90851a21e94f1d55,1377,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3d6cf3223d764cb8bcc717807f4889b6,1378,sg:f8eac82189214f47b182f0ac8370efd2,4939
sg:3d7d4d1ce0ed4af49b67607c1d286474,1379,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:3d981351ced04443a5c42266e7ef1e42,1380,sg:84af574bb61d4f8e91ebca65ce971107,2728
sg:3db53e4a1c5b4479883d56f5aaf1a7d6,1381,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:3dcff19cac8b405bba00da3c4596d3a6,1382,sg:4435703ae5b44067ae640db52da3459c,1502
sg:3de57d23f76c4367ad199383f96f298b,1383,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:3deb026b22224d6898ab80af43302aa5,1384,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:3deeea43d974439ca51dcfa930e6ab65,1385,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:3df383d4e01844ffb6e2e16f2da0d751,1386,sg:63e7da40aba34b238263071871a79842,2132
sg:3dff301f9b624386af149497ef72160c,1387,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:3e0151c246854307895bd29c09400eb3,1388,sg:63e7da40aba34b238263071871a79842,2132
sg:3e0f4d0addcf4aa0bae968e4667fb6bd,1389,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3e1f782fa8a546f9bbac9206df1968c3,1390,sg:66c59f90200042199a1b41d379495d12,2195
sg:3e2383cfb09d43d48d7ceba3aece3306,1391,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:3e247ed367e945c68b30c11dff51bff4,1392,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:3e2ce234d33b4e36be252eb7a3e04bb2,1393,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:3e2fa0c7bb8e489a8aa9dc0769177c31,1394,sg:4435703ae5b44067ae640db52da3459c,1502
sg:3e4309e99bc846feadaa62646dc7b4ee,1395,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:3e7d726450e24a738431894bcc8a7a9d,1396,sg:bd54396113ff46ccb17c8c0a0666b7f8,3834
sg:3e7dfa10754b46e2b5b8b40690df7ed1,1397,sg:4435703ae5b44067ae640db52da3459c,1502
sg:3e88a27fce22416cb7d354344dce9349,1398,sg:330f1a34608b4ff6bbb5d7278ecf7ca0,1135
sg:3ebf2b2fd042435d8e8d626037723245,1399,sg:08157837a9064a4aa1af9a2cc65683da,183
